CustomerID,Lookalikes
C0001,"[('C0152', 0.9999870723962796), ('C0170', 0.9999227517456413), ('C0200', 0.9998778227598258)]"
C0002,"[('C0026', 0.9996118988350827), ('C0199', 0.999370153069973), ('C0114', 0.9989798852349303)]"
C0003,"[('C0178', 0.9999944577650208), ('C0117', 0.9999052474749534), ('C0035', 0.9996004610480034)]"
C0004,"[('C0101', 0.9998128792273939), ('C0054', 0.9998091603017131), ('C0108', 0.9986520081477221)]"
C0005,"[('C0073', 0.9999783162393339), ('C0159', 0.9999547432261947), ('C0112', 0.9998104884673457)]"
C0006,"[('C0079', 0.9999957357376811), ('C0142', 0.9998035012855555), ('C0052', 0.9984798222873371)]"
C0007,"[('C0042', 0.9994867166793127), ('C0176', 0.9989387925443061), ('C0050', 0.9974758104275849)]"
C0008,"[('C0049', 0.9974987243317227), ('C0184', 0.9963726195488966), ('C0024', 0.9963222756577462)]"
C0009,"[('C0077', 0.9992407018209287), ('C0031', 0.9992381743572318), ('C0192', 0.9990779708777513)]"
C0010,"[('C0135', 0.9997364818654991), ('C0011', 0.998903585181608), ('C0114', 0.9988676963479795)]"
C0011,"[('C0107', 0.9998751200638899), ('C0183', 0.9998494423647104), ('C0016', 0.9997841879118408)]"
C0012,"[('C0082', 0.9999100677493092), ('C0155', 0.9998903338530644), ('C0108', 0.9991584741605409)]"
C0013,"[('C0087', 0.9987961809808609), ('C0155', 0.998327545267002), ('C0099', 0.9983273468089937)]"
C0014,"[('C0130', 1.0), ('C0110', 1.0)]"
C0015,"[('C0095', 0.9983381766340113), ('C0144', 0.9978124645440111), ('C0074', 0.9964522324814147)]"
C0016,"[('C0183', 0.9999941413719724), ('C0114', 0.9998767650344246), ('C0011', 0.9997841879118408)]"
C0017,"[('C0162', 0.9999880531889921), ('C0113', 0.9999827130815793), ('C0047', 0.9992906807079035)]"
C0018,"[('C0187', 0.9998195042272001), ('C0134', 0.9993772904493005), ('C0038', 0.9992819326458974)]"
C0019,"[('C0041', 0.9996533414369704), ('C0124', 0.9995917603739511), ('C0143', 0.999378855995215)]"
C0020,"[('C0130', 1.0), ('C0014', 1.0), ('C0110', 1.0)]"
